iteration,total_sp,total_count,prod_sp,prod_count,mut_prod_sp,mut_prod_count,herb_sp,herb_count,mut_sp,mut_count,prim_pred_sp,prim_pred_count,sec_pred_sp,sec_pred_count,shannon_index,shannon_eq,shannon_index_prods,shannon_eq_prods,shannon_index_herbs,shannon_eq_herbs,shannon_index_interm,shannon_eq_interm,shannon_index_top,shannon_eq_top
2011,60,39525,11,7996,5,7075,8,4535,8,7638,23,9618,5,2663,4.082623221804834,0.6911628302105447,2.351564340081656,0.587891085020414,1.7217127440427529,0.4304281860106882,2.986440757817461,0.6601967181677795,1.7358657825502508,0.747596700506119
2012,60,39501,11,8008,5,7071,8,4510,8,7655,23,9607,5,2650,4.080627431268365,0.6908249552314563,2.3505692702330023,0.5876423175582506,1.717564945259789,0.42939123631494724,2.988780368205513,0.6607139235052502,1.7328776537692114,0.7463097834876209
2013,60,39515,11,8020,5,7060,8,4512,8,7675,23,9607,5,2641,4.076594953091449,0.6901422816468272,2.3499371043100292,0.5874842760775073,1.7079490092143823,0.4269872523035956,2.988860570553664,0.660731653415646,1.731193904648563,0.7455846322116809
2014,60,39518,11,8030,5,7045,8,4525,8,7669,23,9615,5,2634,4.076041995030457,0.6900486692712394,2.349667797718929,0.5874169494297322,1.708427904557078,0.4271069761392695,2.988161531867778,0.6605771206176703,1.7271746282665599,0.7438536240935342
2015,60,39578,11,8057,5,7056,8,4514,8,7713,23,9603,5,2635,4.077130362121069,0.6902329230800742,2.351642370896382,0.5879105927240955,1.7111366428607555,0.4277841607151889,2.9917959808237224,0.6613805690928433,1.723405743572477,0.7422304538057111
2016,60,39547,11,8069,5,7032,8,4507,8,7696,23,9613,5,2630,4.078873900239248,0.6905280932867944,2.351731929133987,0.5879329822834968,1.710888092019126,0.4277220230047815,2.9983902867132506,0.6628383375402718,1.7178257827570427,0.7398272954875355
2017,60,39535,11,8086,5,6996,8,4500,8,7693,23,9620,5,2640,4.081635539606351,0.690995621730466,2.349520393016904,0.587380098254226,1.716118498840842,0.4290296247102105,3.002085993226564,0.6636553279007918,1.7208195898665506,0.741116658028994
2018,60,39568,11,8094,5,6971,8,4529,8,7712,23,9619,5,2643,4.08540559012492,0.6916338679375943,2.349973544183156,0.587493386045789,1.7221458020519071,0.4305364505129768,3.0103612847123595,0.6654847029742812,1.725247008656686,0.743023443514679
2019,60,39652,11,8109,5,6987,8,4555,8,7735,23,9623,5,2643,4.083275944628459,0.691273332142663,2.3497981284110905,0.5874495321027726,1.717450942830117,0.42936273570752925,3.0119678748047547,0.6658398633784056,1.725290350778199,0.7430421099503917
2020,60,39664,11,8128,5,6975,8,4600,8,7731,23,9603,5,2627,4.083832335096495,0.6913675256035082,2.349676199663687,0.5874190499159218,1.7163009686005277,0.42907524215013193,3.0229965056099837,0.6682779046636502,1.727837842075271,0.7441392547339366
